Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Dumped broth flow(Fremoved:L/h),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),Vessel Volume(V:L),Vessel Weight(Wt:Kg),pH(pH:pH),Temperature(T:K),Generated heat(Q:kJ),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),PAA concentration offline(PAA_offline:PAA (g L^{-1})),Oil flow(Foil:L/hr),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),Oxygen Uptake Rate(OUR:(g min^{-1})),Oxygen in percent in off-gas(O2:O2  (%)),Offline Penicillin concentration(P_offline:P(g L^{-1})),Offline Biomass concentratio(X_offline:X(g L^{-1})),Carbon evolution rate(CER:g/h),Ammonia shots(NH3_shots:kgs),Viscosity(Viscosity_offline:centPoise),Fault reference(Fault_ref:Fault ref),0 - Recipe driven 1 - Operator controlled(Control_ref:Control ref),1- No Raman spec, 1-Raman spec recorded,2-PAT control(PAT_ref:PAT ref),Batch reference(Batch_ref:Batch ref),Batch ID,Fault flag
17.2,42,100,75,0.0,73.737,272.9,0.0001,0,0.7,0,0.027251,11.395,0.00094698,59298,62083.0,6.4797,298.17,243.29,0.53708,0.0,,35,,1.0236,0.19029,,,0.28631,0,,0,0,2,62,62,0,20883.0,21187.0
17.4,42,100,75,0.0,82.365,279.02,0.0001,0,0.7,0,0.026454,11.344,0.00094606,59324,62121.0,6.4884,298.17,245.07,0.54726,0.0,,35,,1.0366,0.19009,,,0.29174,0,,0,0,2,62,62,0,21877.0,21681.0
17.6,42,100,75,0.0,87.531,287.48,0.0001,0,0.7,0,0.025699,11.295,0.00094514,59351,62159.0,6.4963,298.17,243.39,0.5575,0.0,,35,,1.0457,0.18994,,,0.29721,0,,0,0,2,62,62,0,21871.0,21342.0
17.8,42,100,75,0.0,89.522,291.77,0.0001,0,0.7,0,0.024249,11.24,0.00094421,59379,62198.0,6.5037,298.17,245.03,0.5678,0.0,,35,,1.06,0.18973,,,0.30271,0,,0,0,2,62,62,0,21366.0,20837.0
18.0,42,100,75,0.0,88.575,300.1,0.0001,0,0.7,0,0.023217,11.207,0.00094328,59406,62237.0,6.5107,298.18,246.19,0.57811,0.0,,35,,1.0666,0.18962,,,0.30821,0,,0,0,2,62,62,0,21360.0,21164.0
18.2,42,100,75,0.0,84.814,307.98,0.0001,0,0.7,0,0.022672,11.121,0.00094237,59432,62275.0,6.5155,298.17,243.83,0.58849,0.0,,35,,1.0841,0.18936,,,0.31375,0,,0,0,2,62,62,0,20854.0,20659.0
18.4,42,100,75,0.0,79.141,311.6,0.0001,0,0.7,0,0.02177,11.046,0.00094148,59458,62312.0,6.5168,298.13,233.26,0.59895,0.0,,35,,1.1058,0.18904,,,0.31934,0,,0,0,2,62,62,0,21349.0,21819.0
18.6,42,100,75,0.0,72.954,304.67,0.0001,0,0.7,0,0.02073,11.006,0.00094061,59482,62347.0,6.517,298.1,226.45,0.60945,0.0,,35,,1.1148,0.1889,,,0.32495,0,,0,0,2,62,62,0,21843.0,21480.0
18.8,42,100,75,0.0,66.678,301.26,0.0001,0,0.7,0,0.020012,10.94,0.00093976,59505,62382.0,6.5134,298.1,225.3,0.61998,0.0,,35,,1.1303,0.18866,,,0.33057,0,,0,0,2,62,62,0,21837.0,21475.0
19.0,42,100,75,0.0,61.87,303.93,0.0001,0,0.7,0,0.019684,10.859,0.00093892,59527,62415.0,6.5061,298.11,228.7,0.63056,0.0,,35,,1.1506,0.18836,,,0.33622,0,,0,0,2,62,62,0,21331.0,21469.0
