Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Dumped broth flow(Fremoved:L/h),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),Vessel Volume(V:L),Vessel Weight(Wt:Kg),pH(pH:pH),Temperature(T:K),Generated heat(Q:kJ),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),PAA concentration offline(PAA_offline:PAA (g L^{-1})),Oil flow(Foil:L/hr),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),Oxygen Uptake Rate(OUR:(g min^{-1})),Oxygen in percent in off-gas(O2:O2  (%)),Offline Penicillin concentration(P_offline:P(g L^{-1})),Offline Biomass concentratio(X_offline:X(g L^{-1})),Carbon evolution rate(CER:g/h),Ammonia shots(NH3_shots:kgs),Viscosity(Viscosity_offline:centPoise),Fault reference(Fault_ref:Fault ref),0 - Recipe driven 1 - Operator controlled(Control_ref:Control ref),1- No Raman spec, 1-Raman spec recorded,2-PAT control(PAT_ref:PAT ref),Batch reference(Batch_ref:Batch ref),Batch ID,Fault flag
0.2,30,100,8,0.0,30.118,9.8335,0.0001,0,0.6,0,0.95749,14.711,1.0178000000000001e-25,58479,62574,6.4472,298.22,1e-06,0.089514,5,,22,,0.48051,0.19595,,,0.034045,0,,0,0,1,1,1,0,0.0,0.0
0.4,30,100,8,0.0,51.221,18.155,0.0001,0,0.6,0,1.0046,14.699,0.001,58487,62585,6.4932,298.17,1e-06,0.10176,5,,22,,0.058147,0.2039,,,0.038702,0,,0,0,1,1,1,0,0.0,0.0
0.6,30,100,8,0.0,54.302,9.5982,0.0001,0,0.6,0,1.0498,14.686,0.00099934,58495,62598,6.5425,298.14,1e-06,0.1058,5,,22,,-0.041505,0.20575,,,0.04024,0,,0,0,1,1,1,0,0.0,0.0
0.8,30,100,8,0.0,37.816,4.3395,0.0001,0,0.6,0,1.0942,14.661,0.00099874,58499,62607,6.5753,298.11,1e-06,0.10819,5,,22,,-0.056737,0.20602,,,0.041149,0,,0,0,1,1,1,0,0.0,0.0
1.0,30,100,8,0.5181,18.908,1.1045,0.0001,0,0.6,0,1.137,14.633,0.00099821,58501,62613,6.5825,298.09,1e-06,0.1103,5,1488.0,22,1667.8,-0.049975,0.20589,1.0178000000000001e-25,0.52808,0.041951,0,4.083,0,0,1,1,1,0,0.0,0.0
1.2,30,100,8,1.0387,9.4541,0.0001,0.0001,0,0.6,0,1.1782,14.621,0.00099771,58500,62617,6.5717,298.08,1e-06,0.11242,5,,22,,-0.045267,0.2058,,,0.042758,0,,0,0,1,1,1,0,0.0,0.0
1.4,30,100,8,1.5604,4.727,0.0001,0.0001,0,0.6,0,1.2172,14.604,0.00099722,58498,62620,6.5521,298.07,1e-06,0.11463,5,,22,,-0.039369,0.20569,,,0.043599,0,,0,0,1,1,1,0,0.0,0.0
1.6,30,100,8,2.0823,2.3635,0.0001,0.0001,0,0.6,0,1.2544,14.583,0.00099674,58497,62622,6.5287,298.06,1e-06,0.11694,5,,22,,-0.031033,0.20553,,,0.044478,0,,0,0,1,1,1,0,0.0,0.0
1.8,30,100,8,0.0,0.0,0.0001,0.0001,0,0.6,0,1.2891,14.547,0.00099627,58494,62624,6.5061,298.06,1e-06,0.11936,5,,22,,-0.016025,0.20524,,,0.045398,0,,0,0,1,1,1,0,0.0,0.0
2.0,30,100,8,0.0,0.0,0.51077,0.0001,0,0.6,0,1.3218,14.529,0.0009958,58491,62626,6.4844,298.05,1e-06,0.12189,5,,22,,-0.0071831,0.20507,,,0.046361,0,,0,0,1,1,1,0,0.0,0.0
2.2,30,100,8,0.0,6.7741,1.638,0.0001,0,0.6,0,1.3523,14.509,0.0009953,58490,62629,6.4728,298.05,1e-06,0.12453,5,,22,,0.00095122,0.20492,,,0.047367,0,,0,0,1,1,1,0,21267.0,21072.0
2.4,30,100,8,0.0,18.126,3.2411,0.0001,0,0.6,0,1.3804,14.496,0.00099477,58491,62634,6.4764,298.05,0.0275,0.12729,5,,22,,0.0054429,0.20483,,,0.048418,0,,0,0,1,1,1,0,21763.0,21234.0
2.6,30,100,8,0.0,28.037,5.2094,0.0001,0,0.6,0,1.406,14.462,0.00099421,58494,62642,6.4915,298.05,0.27393,0.13018,5,,22,,0.018177,0.20458,,,0.049515,0,,0,0,1,1,1,0,22258.0,22063.0
2.8,30,100,8,0.0,31.908,7.4531,0.0001,0,0.6,0,1.429,14.434,0.00099363,58497,62650,6.51,298.05,0.62348,0.13318,5,,22,,0.030167,0.20435,,,0.050658,0,,0,0,1,1,1,0,22254.0,22225.0
3.0,30,100,8,0.0,28.397,9.8571,0.0001,0,0.6,0,1.4495,14.408,0.00099306,58500,62657,6.5233,298.05,0.98893,0.13631,5,,22,,0.040673,0.20415,,,0.05185,0,,0,0,1,1,1,0,22249.0,22387.0
3.2,30,100,15,0.0,19.594,12.327,0.0001,0,0.6,0,1.4813,14.372,0.00099251,58503,62665,6.5239,298.06,1.2113,0.13957,5,,22,,0.054921,0.20388,,,0.053091,0,,0,0,1,1,1,0,22245.0,22216.0
3.4,30,100,15,0.0,10.588,14.665,0.0001,0,0.6,0,1.5099,14.326,0.00099198,58503,62670,6.5122,298.06,1.4427,0.14297,5,,22,,0.074225,0.20351,,,0.054382,0,,0,0,1,1,1,0,22240.0,21878.0
3.6,30,100,15,0.0,6.2774,17.049,0.0001,0,0.6,0,1.5362,14.289,0.00099147,58503,62675,6.4945,298.06,1.8352,0.14649,5,,22,,0.091194,0.20319,,,0.055722,0,,0,0,1,1,1,0,21735.0,22040.0
3.8,30,100,15,0.0,9.0006,19.671,0.0001,0,0.6,0,1.5601,14.254,0.00099095,58504,62681,6.4808,298.06,2.5867,0.15015,5,,22,,0.10584,0.20291,,,0.057114,0,,0,0,1,1,1,0,21231.0,20869.0
4.0,30,100,15,0.0,17.201,22.803,0.0001,0,0.6,0,1.5812,14.213,0.00099039,58506,62688,6.4791,298.06,3.0896,0.15395,5,,22,,0.12264,0.20258,,,0.058562,0,,0,0,1,1,1,0,22226.0,21697.0
4.2,30,100,15,0.0,26.041,25.712,0.0001,0,0.6,0,1.6269,14.168,0.00098981,58510,62698,6.4889,298.06,3.2798,0.1579,5,,30,,0.13701,0.20231,,,0.060065,0,,0,0,1,1,1,0,22221.0,22693.0
4.4,30,100,15,0.0,30.979,28.297,0.0001,0,0.6,0,1.6703,14.13,0.00098922,58515,62709,6.5052,298.07,3.9021,0.16198,5,,30,,0.15252,0.20201,,,0.061618,0,,0,0,1,1,1,0,21717.0,21688.0
4.6,30,100,15,0.0,29.382,31.47,0.0001,0,0.6,0,1.7103,14.083,0.00098863,58519,62720,6.5188,298.07,4.345,0.1662,5,,30,,0.17099,0.20165,,,0.063224,0,,0,0,1,1,1,0,21212.0,21517.0
4.8,30,100,15,0.0,22.389,34.489,0.0001,0,0.6,0,1.7475,14.049,0.00098806,58522,62729,6.5223,298.07,5.3331,0.17057,5,,30,,0.18465,0.20139,,,0.064885,0,,0,0,1,1,1,0,21207.0,21679.0
5.0,30,100,15,0.0,14.017,38.272,0.0001,0,0.6,0,1.7819,14.003,0.00098753,58524,62737,6.5126,298.08,6.647,0.17508,5,,30,,0.20142,0.20106,,,0.066604,0,,0,0,1,1,1,0,21702.0,21507.0
5.2,30,100,15,0.0,9.552,42.595,0.0001,0,0.6,0,1.8122,13.967,0.00098702,58523,62743,6.4954,298.08,7.8168,0.17976,0,,30,,0.21438,0.20081,,,0.068385,0,,0,0,1,1,1,0,21198.0,21336.0
5.4,30,100,15,0.0,11.944,46.907,0.0001,0,0.6,0,1.839,13.923,0.00098651,58523,62749,6.4821,298.08,8.7216,0.1846,0,,30,,0.22995,0.20051,,,0.070228,0,,0,0,1,1,1,0,22193.0,22664.0
5.6,30,100,15,0.0,19.592,51.046,0.0001,0,0.6,0,1.8633,13.875,0.00098597,58525,62757,6.4792,298.09,9.9082,0.1896,0,,30,,0.24847,0.20015,,,0.07213,0,,0,0,1,1,1,0,21688.0,21993.0
5.8,30,100,15,0.0,28.416,55.68,0.0001,0,0.6,0,1.8842,13.83,0.0009854,58528,62767,6.4876,298.09,9.817,0.19475,0,,30,,0.26607,0.19981,,,0.074088,0,,0,0,1,1,1,0,21683.0,21488.0
6.0,30,100,15,0.0,33.855,58.835,0.0001,0,0.6,0,1.9017,13.797,0.00098481,58533,62778,6.5015,298.08,8.9182,0.20005,0,,30,,0.2775,0.19958,,,0.076105,0,,0,0,1,1,1,0,21178.0,20816.0
6.2,30,100,15,0.0,33.741,60.978,0.0001,0,0.6,0,1.915,13.745,0.00098423,58537,62789,6.5145,298.08,8.6957,0.20552,0,,30,,0.29452,0.19925,,,0.078189,0,,0,0,1,1,1,0,22173.0,21978.0
6.4,30,100,15,0.0,28.466,63.885,0.0001,0,0.6,0,1.9241,13.692,0.00098366,58540,62798,6.5194,298.09,10.104,0.21118,0,,30,,0.31348,0.19888,,,0.080341,0,,0,0,1,1,1,0,21668.0,22140.0
6.6,30,100,15,0.0,21.244,68.83,0.0001,0,0.6,0,1.93,13.648,0.00098312,58542,62806,6.5144,298.09,9.3355,0.21701,0,,30,,0.32857,0.19858,,,0.082563,0,,0,0,1,1,1,0,21163.0,20802.0
6.8,30,100,15,0.0,16.017,71.138,0.0001,0,0.6,0,1.9325,13.596,0.00098259,58543,62814,6.5012,298.09,9.2838,0.22303,0,,30,,0.34544,0.19825,,,0.084854,0,,0,0,1,1,1,0,21659.0,21130.0
7.0,30,100,15,0.0,16.096,74.318,0.0001,0,0.6,0,1.931,13.527,0.00098207,58544,62821,6.4886,298.08,9.0259,0.22924,0,,30,,0.37052,0.19776,,,0.087217,0,,0,0,1,1,1,0,21154.0,21625.0
7.2,30,100,15,0.0,21.177,77.207,0.0001,0,0.6,0,1.9253,13.455,0.00098153,58546,62829,6.482,298.08,8.2531,0.23564,0,,30,,0.39836,0.19722,,,0.089656,0,,0,0,1,1,1,0,22149.0,22453.0
7.4,30,100,15,0.0,28.898,79.407,0.0001,0,0.6,0,1.9156,13.401,0.00098096,58549,62839,6.4855,298.08,6.8575,0.24224,0,,30,,0.41999,0.1968,,,0.092166,0,,0,0,1,1,1,0,22144.0,22282.0
7.6,30,100,15,0.0,35.196,80.716,0.0001,0,0.6,0,1.9014,13.333,0.00098037,58554,62850,6.4951,298.08,7.8167,0.24903,0,,30,,0.444,0.19633,,,0.094753,0,,0,0,1,1,1,0,21139.0,20943.0
7.8,30,100,15,0.0,37.665,84.863,0.0001,0,0.6,0,1.8833,13.276,0.00097977,58559,62861,6.5054,298.08,8.7817,0.25603,0,,30,,0.46436,0.19593,,,0.097418,0,,0,0,1,1,1,0,22134.0,22438.0
8.0,30,100,15,0.0,36.02,89.084,0.0001,0,0.6,0,1.8607,13.222,0.00097918,58564,62872,6.5128,298.09,9.8352,0.26324,0,,30,,0.48107,0.1956,,,0.10016,0,,0,0,1,1,1,0,21129.0,21433.0
8.2,42,100,15,0.0,31.438,93.552,0.0001,0,0.6,0,1.8336,13.331,0.00097861,58568,62883,6.5144,298.09,11.664,0.21112,0,,30,,0.45819,0.19862,,,0.11245,0,,0,0,1,1,1,0,22123.0,22095.0
8.4,42,100,15,0.0,26.22,99.157,0.0001,0,0.6,0,1.8006,13.254,0.00097805,58571,62892,6.5086,298.1,12.346,0.21015,0,,30,,0.45132,0.19871,,,0.11193,0,,0,0,1,1,1,0,22118.0,21923.0
8.6,42,100,15,0.0,23.338,103.53,0.0001,0,0.6,0,1.7627,13.191,0.00097751,58573,62900,6.4976,298.1,13.047,0.21507,0,,30,,0.46919,0.19846,,,0.11456,0,,0,0,1,1,1,0,22113.0,21584.0
8.8,42,100,15,0.0,24.852,108.05,0.0001,0,0.6,0,1.7182,13.112,0.00097695,58576,62909,6.488,298.11,15.776,0.22089,0,,30,,0.49778,0.19806,,,0.11765,0,,0,0,1,1,1,0,21108.0,21579.0
9.0,42,100,15,0.0,30.166,115.26,0.0001,0,0.6,0,1.6681,13.049,0.00097638,58580,62919,6.4845,298.12,17.587,0.22698,0,,30,,0.51847,0.19777,,,0.1209,0,,0,0,1,1,1,0,21603.0,22074.0
9.2,42,100,15,0.0,36.871,121.62,0.0001,0,0.6,0,1.6111,12.975,0.00097579,58585,62931,6.4847,298.12,19.374,0.2333,0,,30,,0.54284,0.19743,,,0.12427,0,,0,0,1,1,1,0,21598.0,21736.0
9.4,42,100,15,0.0,43.504,128.22,0.0001,0,0.6,0,1.5493,12.919,0.00097518,58591,62943,6.4889,298.13,20.763,0.23979,0,,30,,0.56083,0.19717,,,0.12773,0,,0,0,1,1,1,0,21093.0,20730.0
9.6,42,100,15,0.0,48.433,134.57,0.0001,0,0.6,0,1.4815,12.842,0.00097454,58598,62957,6.4957,298.14,23.997,0.24647,0,,30,,0.58866,0.19678,,,0.13129,0,,0,0,1,1,1,0,21087.0,20725.0
9.8,42,100,15,0.0,50.664,143.48,0.0001,0,0.6,0,1.4079,12.776,0.00097391,58606,62971,6.5042,298.15,25.96,0.25333,0,,30,,0.60956,0.19649,,,0.13495,0,,0,0,1,1,1,0,21582.0,21387.0
10.0,42,100,15,0.0,49.499,151.16,0.0001,0,0.6,0,1.3281,12.693,0.00097327,58613,62985,6.5089,298.15,26.957,0.2604,0,,30,,0.6385,0.19608,,,0.13871,0,,0,0,1,1,1,0,22077.0,22381.0
10.2,42,100,15,0.0,46.488,157.91,0.0001,0,0.6,0,1.2424,12.601,0.00097265,58620,62998,6.5082,298.15,26.698,0.26768,0,,30,,0.672,0.19561,,,0.14259,0,,0,0,1,1,1,0,21571.0,21876.0
10.4,42,100,15,0.0,43.731,163.22,0.0001,0,0.6,0,1.1493,12.516,0.00097204,58627,63011,6.5039,298.15,25.696,0.27519,0,,30,,0.70032,0.19521,,,0.1466,0,,0,0,1,1,1,0,21566.0,21704.0
10.6,42,100,15,0.0,42.712,167.59,0.0001,0,0.6,0,1.0486,12.41,0.00097143,58633,63023,6.498,298.14,25.128,0.28295,0,,30,,0.73895,0.19467,,,0.15074,0,,0,0,1,1,1,0,21561.0,21865.0
10.8,42,100,15,0.0,44.043,172.39,0.0001,0,0.6,0,0.94074,12.309,0.00097082,58639,63036,6.4931,298.14,23.97,0.29098,0,,30,,0.7746,0.19417,,,0.15501,0,,0,0,1,1,1,0,22055.0,22360.0
11.0,42,100,15,0.0,47.308,176.35,0.0001,0,0.6,0,0.82618,12.221,0.00097019,58646,63049,6.4917,298.14,23.993,0.29925,0,,30,,0.80504,0.19374,,,0.15942,0,,0,0,1,1,1,0,21050.0,20855.0
11.2,42,100,15,0.0,51.125,181.67,0.0001,0,0.6,0,0.70488,12.132,0.00096956,58654,63063,6.4931,298.12,17.29,0.30775,0,,30,,0.8343,0.19332,,,0.16396,0,,0,0,1,1,1,0,21045.0,21182.0
11.4,42,100,15,0.0,54.39,178.37,0.0001,0,0.6,0,0.57682,12.033,0.00096891,58663,63078,6.4942,298.08,7.2958,0.31649,0,,30,,0.86827,0.19284,,,0.16861,0,,0,0,1,1,1,0,21039.0,21177.0
11.6,42,100,15,0.0,57.231,170.14,0.0001,0,0.6,0,0.44014,11.92,0.00096826,58672,63094,6.495,298.07,4.0842,0.3255,0,,30,,0.90697,0.19229,,,0.17342,0,,0,0,1,1,1,0,22034.0,22005.0
11.8,42,100,15,0.0,59.744,169.27,0.0001,0,0.6,0,0.29866,11.855,0.0009676,58681,63109,6.4968,298.06,1.1719,0.33475,0,,30,,0.92745,0.19199,,,0.17835,0,,0,0,1,1,1,0,22028.0,21833.0
12.0,42,100,15,0.0,61.535,168.15,0.0001,0,0.6,0,0.15862,11.835,0.00096693,58691,63126,6.5002,298.04,1e-06,0.34413,0,1577.7,30,1791.4,0.93728,0.19184,0.00096956,2.8974,0.18335,0,10.792,0,0,1,1,1,0,21523.0,21661.0
12.2,42,100,30,0.0,61.979,163.16,0.0001,0,0.6,0,0.061676,11.966,0.00096622,58704,63146,6.5075,298.03,1e-06,0.35344,0,,30,,0.9102,0.19219,,,0.18832,0,,0,0,1,1,1,0,21517.0,21655.0
