Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Dumped broth flow(Fremoved:L/h),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),Vessel Volume(V:L),Vessel Weight(Wt:Kg),pH(pH:pH),Temperature(T:K),Generated heat(Q:kJ),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),PAA concentration offline(PAA_offline:PAA (g L^{-1})),Oil flow(Foil:L/hr),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),Oxygen Uptake Rate(OUR:(g min^{-1})),Oxygen in percent in off-gas(O2:O2  (%)),Offline Penicillin concentration(P_offline:P(g L^{-1})),Offline Biomass concentratio(X_offline:X(g L^{-1})),Carbon evolution rate(CER:g/h),Ammonia shots(NH3_shots:kgs),Viscosity(Viscosity_offline:centPoise),Fault reference(Fault_ref:Fault ref),0 - Recipe driven 1 - Operator controlled(Control_ref:Control ref),1- No Raman spec, 1-Raman spec recorded,2-PAT control(PAT_ref:PAT ref),Batch reference(Batch_ref:Batch ref),Batch ID,Fault flag
165.2,75,100,80,0.0,8.3812,114.19,14.364,400,0.9,0,27.432,13.539,11.966,72905,82778,6.5053,298.05,160.19,1.3783,10,,23,,0.56983,0.19815,,,1.3152,0,,0,0,1,9,9,0,77442.0,77347.0
165.4,75,100,80,0.0,6.798,71.925,1.4364,400,0.9,0,27.551,13.548,11.945,72998,82880,6.5021,297.92,112.64,1.378,10,,23,,0.56268,0.1982,,,1.3149,0,,0,0,1,9,9,0,76837.0,76742.0
165.6,75,100,80,0.0,6.4763,21.578,95.613,400,0.9,0,27.669,13.557,11.923,73090,82982,6.4987,298.07,166.2,1.3777,10,,23,,0.56093,0.19821,,,1.3146,0,,0,0,1,9,9,0,76732.0,76803.0
165.8,75,100,80,0.0,7.5353,72.887,9.5613,400,0.9,0,27.79,13.581,11.902,73183,83085,6.4969,297.95,125.25,1.3774,10,,23,,0.54593,0.19833,,,1.3142,0,,0,0,1,9,9,0,76127.0,76531.0
166.0,75,100,80,0.0,9.2881,33.624,0.95613,400,0.9,0,27.909,13.596,11.881,73276,83187,6.4979,297.85,88.806,1.3771,10,,23,,0.54136,0.19836,,,1.3139,0,,0,0,1,9,9,0,76522.0,76427.0
166.2,75,100,80,0.0,10.649,10.087,65.959,400,0.9,0,28.028,13.604,11.86,73370,83290,6.5007,297.94,119.77,1.3767,10,,23,,0.54547,0.19833,,,1.3136,0,,0,0,1,9,9,0,75917.0,76322.0
166.4,75,100,80,0.0,10.887,3.0262,0.0001,400,0.9,0,28.147,13.617,11.839,73463,83394,6.5039,297.86,92.268,1.3764,10,,23,,0.5413,0.19836,,,1.3133,0,,0,0,1,9,9,0,76313.0,76050.0
166.6,75,100,80,0.0,9.8293,0.90786,77.405,400,0.9,0,28.267,13.629,11.817,73557,83496,6.5056,297.98,136.24,1.3761,10,,23,,0.53337,0.19842,,,1.313,0,,0,0,1,9,9,0,76209.0,76113.0
166.8,75,100,80,0.0,8.1207,39.763,7.7405,400,0.9,0,28.391,13.632,11.796,73650,83599,6.5049,297.9,105.25,1.3758,10,,23,,0.53314,0.19842,,,1.3127,0,,0,0,1,9,9,0,76106.0,76509.0
167.0,75,100,80,0.0,6.6876,11.929,118.88,400,0.9,0,28.517,13.657,11.776,73742,83702,6.5019,298.12,183.71,1.3755,10,,23,,0.50811,0.19861,,,1.3124,0,,0,0,1,9,9,0,75502.0,75739.0
167.2,75,100,80,0.0,6.4713,86.246,11.888,400,0.9,0,28.641,13.669,11.755,73835,83804,6.4983,298.01,143.86,1.3751,10,,23,,0.50095,0.19866,,,1.3121,0,,0,0,1,9,9,0,76399.0,76469.0
167.4,75,100,80,0.0,7.6668,49.732,1.1888,400,0.9,0,28.762,13.68,11.734,73928,83906,6.4967,297.89,104.08,1.3748,10,,23,,0.5009,0.19867,,,1.3118,0,,0,0,1,9,9,0,75297.0,75200.0
167.6,75,100,80,0.0,9.4961,14.919,76.794,400,0.9,0,28.884,13.681,11.713,74021,84009,6.4977,298.01,143.43,1.3745,10,,23,,0.51502,0.19856,,,1.3115,0,,0,0,1,9,9,0,75694.0,75930.0
167.8,75,100,80,0.0,10.91,50.502,7.6794,400,0.9,0,29.004,13.704,11.692,74114,84112,6.5011,297.91,109.18,1.3741,10,,23,,0.50286,0.19865,,,1.3111,0,,0,0,1,9,9,0,75092.0,75161.0
168.0,75,100,80,0.0,10.99,15.151,126.41,400,0.9,0,29.123,13.709,11.672,74208,84215,6.504,298.15,193.45,1.3738,10,5455.3,23,3098.8,0.50622,0.19863,11.755,21.026,1.3108,0,81.139,0,0,1,9,9,0,74989.0,75392.0
168.2,75,100,80,0.0,9.9063,95.217,12.641,400,0.9,0,29.24,13.728,11.651,74301,84318,6.5058,298.03,150.7,1.3735,10,,23,,0.49047,0.19875,,,1.3105,0,,0,0,1,9,9,0,74887.0,75289.0
168.4,75,100,80,0.0,8.1139,56.99,1.2641,400,0.9,0,29.355,13.732,11.63,74394,84421,6.5045,297.91,109.32,1.3732,10,,23,,0.488,0.19876,,,1.3102,0,,0,0,1,9,9,0,75286.0,74855.0
168.6,75,100,80,0.0,6.8633,17.097,80.211,400,0.9,0,29.469,13.723,11.61,74486,84523,6.5013,298.03,151.17,1.3728,10,,23,,0.50369,0.19865,,,1.3099,0,,0,0,1,9,9,0,75185.0,75420.0
168.8,75,100,80,0.0,6.8664,55.506,8.0211,400,0.9,0,29.586,13.733,11.589,74579,84625,6.4985,297.93,116.37,1.3725,10,,23,,0.50353,0.19865,,,1.3096,0,,0,0,1,9,9,0,75084.0,74819.0
