Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Dumped broth flow(Fremoved:L/h),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),Vessel Volume(V:L),Vessel Weight(Wt:Kg),pH(pH:pH),Temperature(T:K),Generated heat(Q:kJ),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),PAA concentration offline(PAA_offline:PAA (g L^{-1})),Oil flow(Foil:L/hr),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),Oxygen Uptake Rate(OUR:(g min^{-1})),Oxygen in percent in off-gas(O2:O2  (%)),Offline Penicillin concentration(P_offline:P(g L^{-1})),Offline Biomass concentratio(X_offline:X(g L^{-1})),Carbon evolution rate(CER:g/h),Ammonia shots(NH3_shots:kgs),Viscosity(Viscosity_offline:centPoise),Fault reference(Fault_ref:Fault ref),0 - Recipe driven 1 - Operator controlled(Control_ref:Control ref),1- No Raman spec, 1-Raman spec recorded,2-PAT control(PAT_ref:PAT ref),Batch reference(Batch_ref:Batch ref),Batch ID,Fault flag
96.2,75,100,90,0.0,36.49,42.992,0.0001,100,1.1,0,0.00095278,13.258,11.173,85603,94712,6.501,297.99,300.79,1.9144,10,,23,,2.2645,0.18433,,,1.8296,0,,0,0,1,27,27,0,73841.0,74242.0
96.4,75,100,90,0.0,36.642,44.075,0.0001,100,1.1,0,0.000944,13.251,11.21,85643,94763,6.4815,297.99,301.51,1.9174,10,,23,,2.2668,0.18431,,,1.8325,0,,0,0,1,27,27,0,74517.0,74251.0
96.6,75,100,90,0.0,44.562,44.342,0.0001,100,1.1,0,0.00095889,13.214,11.247,85684,94815,6.4711,297.99,301.89,1.9204,10,,23,,2.2907,0.18412,,,1.8354,0,,0,0,1,27,27,0,75193.0,75761.0
96.8,75,100,90,0.0,56.631,44.408,0.0001,100,1.1,0,0.00095567,13.216,11.284,85728,94871,6.4712,297.99,300.96,1.9234,10,,23,,2.3012,0.18403,,,1.8383,0,,0,0,1,27,27,0,75368.0,75270.0
97.0,75,100,90,0.0,68.634,43.403,0.0001,100,1.1,0,0.00095381,13.249,11.321,85773,94928,6.4804,297.99,299.55,1.9264,10,,23,,2.2816,0.18418,,,1.8411,0,,0,0,1,27,27,0,75542.0,75777.0
97.2,75,100,90,0.0,76.954,41.932,0.0001,100,1.1,0,0.00092278,13.328,11.357,85821,94987,6.4925,297.98,296.48,1.9293,10,,23,,2.2341,0.18453,,,1.8439,0,,0,0,1,27,27,0,74713.0,74781.0
97.4,75,100,90,0.0,80.458,38.932,0.0001,100,1.1,0,0.00091279,13.339,11.392,85869,95047,6.5055,297.98,294.06,1.9322,10,,23,,2.2246,0.1846,,,1.8467,0,,0,0,1,27,27,0,74882.0,75118.0
97.6,75,100,90,0.0,78.774,36.229,0.0001,100,1.1,0,0.00092288,13.291,11.428,85917,95107,6.5158,297.97,293.55,1.935,10,,23,,2.2451,0.18444,,,1.8494,0,,0,0,1,27,27,0,75552.0,75455.0
97.8,75,100,90,0.0,72.977,34.913,0.0001,100,1.1,0,0.0009206,13.257,11.464,85964,95165,6.5217,297.98,294.75,1.9379,10,,23,,2.2616,0.18431,,,1.8522,0,,0,0,1,27,27,0,76223.0,76460.0
98.0,75,100,90,0.0,64.828,34.962,0.0001,100,1.1,0,0.00091473,13.237,11.501,86009,95222,6.5218,297.98,296.67,1.9408,10,,23,,2.2622,0.1843,,,1.8549,0,,0,0,1,27,27,0,76396.0,75966.0
