Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Dumped broth flow(Fremoved:L/h),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),Vessel Volume(V:L),Vessel Weight(Wt:Kg),pH(pH:pH),Temperature(T:K),Generated heat(Q:kJ),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),PAA concentration offline(PAA_offline:PAA (g L^{-1})),Oil flow(Foil:L/hr),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),Oxygen Uptake Rate(OUR:(g min^{-1})),Oxygen in percent in off-gas(O2:O2  (%)),Offline Penicillin concentration(P_offline:P(g L^{-1})),Offline Biomass concentratio(X_offline:X(g L^{-1})),Carbon evolution rate(CER:g/h),Ammonia shots(NH3_shots:kgs),Viscosity(Viscosity_offline:centPoise),Fault reference(Fault_ref:Fault ref),0 - Recipe driven 1 - Operator controlled(Control_ref:Control ref),1- No Raman spec, 1-Raman spec recorded,2-PAT control(PAT_ref:PAT ref),Batch reference(Batch_ref:Batch ref),Batch ID,Fault flag
165.2,75,100,120,0.0,78.715,0.21942,0.0001,400,0.9,0,0.0013008,11.929,24.688,80129,89920,6.4912,297.85,60.95,1.7624,9,,23,,1.3921,0.19123,,,1.6836,0,,0,1,1,35,35,0,138570.0,138920.0
165.4,75,100,120,0.0,82.752,0.065826,74.982,400,0.9,0,0.001365,11.897,24.706,80244,90047,6.4911,297.95,99.988,1.7632,9,,23,,1.4157,0.19106,,,1.6844,0,,0,1,1,35,35,0,138150.0,138500.0
165.6,75,100,120,0.0,86.815,30.058,7.4982,400,0.9,0,0.0013862,11.915,24.723,80360,90174,6.4931,297.88,70.176,1.7641,9,,23,,1.4095,0.1911,,,1.6852,0,,0,1,1,35,35,0,138230.0,138580.0
165.8,75,100,120,0.0,90.101,9.0174,103.21,400,0.9,0,0.0014454,11.91,24.74,80476,90303,6.4963,298.04,132.09,1.765,9,,23,,1.4058,0.19113,,,1.686,0,,0,1,1,35,35,0,138310.0,138500.0
166.0,75,100,120,0.0,92.077,60.257,10.321,400,0.9,0,0.0014218,11.937,24.757,80593,90432,6.5012,297.95,98.63,1.7658,9,,23,,1.4115,0.19108,,,1.6868,0,,0,1,1,35,35,0,139400.0,140080.0
166.2,75,100,120,0.0,92.12,30.611,1.0321,400,0.9,0,0.001384,11.989,24.772,80710,90560,6.5074,297.86,63.345,1.7667,9,,23,,1.3945,0.19121,,,1.6877,0,,0,1,1,35,35,0,138470.0,138990.0
166.4,75,100,120,0.0,89.669,9.1833,64.408,400,0.9,0,0.0014554,11.948,24.789,80827,90688,6.5113,297.93,90.486,1.7675,9,,23,,1.4026,0.19115,,,1.6885,0,,0,1,1,35,35,0,139050.0,139070.0
166.6,75,100,120,0.0,85.675,2.755,0.0001,400,0.9,0,0.0014047,11.97,24.806,80942,90816,6.514,297.85,60.971,1.7684,9,,23,,1.4076,0.19111,,,1.6893,0,,0,1,1,35,35,0,139130.0,139650.0
166.8,75,100,120,0.0,80.598,0.8265,72.322,400,0.9,0,0.0014196,11.955,24.822,81057,90942,6.5123,297.95,97.228,1.7693,9,,23,,1.4175,0.19103,,,1.6901,0,,0,1,1,35,35,0,139210.0,139730.0
167.0,75,100,120,0.0,76.208,0.24795,0.0001,400,0.9,0,0.0013803,11.986,24.837,81170,91067,6.5101,297.87,68.271,1.7701,9,,23,,1.4071,0.19111,,,1.6909,0,,0,1,1,35,35,0,138780.0,138800.0
167.2,75,100,120,0.0,72.7,0.074385,71.355,400,0.9,0,0.0014021,11.951,24.854,81283,91192,6.5045,297.96,103.74,1.7709,9,,23,,1.4295,0.19094,,,1.6917,0,,0,1,1,35,35,0,139860.0,139880.0
167.4,75,100,120,0.0,71.431,27.197,7.1355,400,0.9,0,0.0013724,11.976,24.869,81396,91316,6.4992,297.89,73.939,1.7718,9,,23,,1.4345,0.1909,,,1.6925,0,,0,1,1,35,35,0,139440.0,139790.0
167.6,75,100,120,0.0,72.281,8.1592,95.395,400,0.9,0,0.0013318,12.031,24.884,81509,91441,6.4958,298.03,128.63,1.7726,9,,23,,1.4175,0.19102,,,1.6933,0,,0,1,1,35,35,0,140010.0,140030.0
167.8,75,100,120,0.0,74.461,52.707,9.5395,400,0.9,0,0.0013639,12.022,24.899,81622,91566,6.4922,297.94,93.619,1.7734,9,,23,,1.423,0.19098,,,1.6941,0,,0,1,1,35,35,0,139080.0,139430.0
168.0,75,100,120,0.0,78.095,15.812,126.97,400,0.9,0,0.0013376,12.075,24.912,81736,91691,6.488,298.14,174.28,1.7742,9,1132.0,23,1709.0,1.4099,0.19108,24.854,24.637,1.6948,0,77.203,0,1,1,35,35,0,139150.0,138830.0
168.2,75,100,120,0.0,83.399,85.038,12.697,400,0.9,0,0.0013282,12.13,24.925,81851,91818,6.4889,298.04,133.94,1.7749,9,,23,,1.3867,0.19125,,,1.6956,0,,0,1,1,35,35,0,140210.0,140890.0
168.4,75,100,120,0.0,88.328,53.447,1.2697,400,0.9,0,0.0013859,12.109,24.939,81967,91945,6.4902,297.94,92.819,1.7757,9,,23,,1.3965,0.19118,,,1.6964,0,,0,1,1,35,35,0,140280.0,140630.0
168.6,75,100,120,0.0,92.774,16.034,71.976,400,0.9,0,0.0014346,12.098,24.954,82084,92074,6.4928,298.02,124.48,1.7766,9,,23,,1.4026,0.19113,,,1.6972,0,,0,1,1,35,35,0,139850.0,140030.0
168.8,75,100,120,0.0,96.155,42.121,7.1976,400,0.9,0,0.0014671,12.098,24.969,82202,92204,6.4952,297.93,91.25,1.7775,9,,23,,1.4061,0.1911,,,1.698,0,,0,1,1,35,35,0,139420.0,139270.0
169.0,75,100,120,0.0,98.614,12.636,101.07,400,0.9,0,0.001487,12.108,24.983,82320,92334,6.4967,298.08,150.0,1.7784,9,,23,,1.4108,0.19106,,,1.6989,0,,0,1,1,35,35,0,139990.0,140010.0
169.2,75,100,120,0.0,100.48,61.998,10.107,400,0.9,0,0.0015127,12.098,24.998,82438,92464,6.4971,297.99,115.85,1.7793,9,,23,,1.4215,0.19098,,,1.6998,0,,0,1,1,35,35,0,139560.0,139910.0
169.4,75,100,120,0.0,102.17,34.138,1.0107,400,0.9,0,0.0015384,12.114,25.013,82557,92595,6.4967,297.9,79.649,1.7802,9,,23,,1.4112,0.19106,,,1.7007,0,,0,1,1,35,35,0,140130.0,140480.0
169.6,75,100,120,0.0,104.0,10.241,59.373,400,0.9,0,0.0015697,12.107,25.028,82676,92726,6.4972,297.96,101.62,1.7812,9,,23,,1.4189,0.191,,,1.7016,0,,0,1,1,35,35,0,140200.0,140550.0
169.8,75,100,120,0.0,105.62,26.38,5.9373,400,0.9,0,0.0015359,12.151,25.042,82795,92858,6.4985,297.88,72.379,1.7821,9,,23,,1.4084,0.19107,,,1.7025,0,,0,1,1,35,35,0,140770.0,140790.0
170.0,75,100,120,0.0,106.74,7.9139,85.327,400,0.9,0,0.0015407,12.149,25.056,82915,92989,6.4982,298.0,118.45,1.783,9,,23,,1.4205,0.19098,,,1.7034,0,,0,1,1,35,35,0,139840.0,139530.0
170.2,75,100,120,0.0,107.99,44.07,8.5327,150,0.9,-4000,0.0015551,11.221,25.085,82289,92271,6.5256,297.95,96.683,1.7743,9,,23,,1.6711,0.18911,,,1.695,0,,0,1,1,35,35,0,140480.0,140500.0
170.4,75,100,120,0.0,98.166,13.221,100.33,150,0.9,-4000,0.001603,11.169,25.115,81661,91551,6.5471,298.12,165.51,1.7608,9,,23,,1.6907,0.18898,,,1.682,0,,0,1,1,35,35,0,141120.0,141470.0
170.6,75,100,120,0.0,79.853,71.892,10.033,150,0.9,-4000,0.0016283,11.087,25.146,81029,90828,6.5568,298.06,143.48,1.7471,9,,23,,1.7028,0.18892,,,1.6688,0,,0,1,1,35,35,0,140760.0,141120.0
170.8,75,100,120,0.51974,39.927,55.644,1.0033,150,0.9,-4000,0.0016233,10.94,25.179,80390,90096,6.5447,298.01,121.27,1.7333,9,,23,,1.7276,0.18876,,,1.6556,0,,0,1,1,35,35,0,140920.0,140940.0
171.0,75,100,120,0.0,22.643,38.705,0.10033,150,0.9,-4000,0.0017291,10.797,25.214,79747,89361,6.5182,297.96,104.9,1.7196,9,,23,,1.7548,0.18858,,,1.6425,0,,0,1,1,35,35,0,140590.0,140950.0
171.2,75,100,120,0.0,15.919,24.716,0.010033,150,0.9,-4000,0.0017551,10.749,25.25,79103,88625,6.4889,297.93,92.833,1.706,9,,23,,1.7577,0.18858,,,1.6294,0,,0,1,1,35,35,0,140760.0,140620.0
171.4,75,100,120,0.0,20.898,7.4147,37.056,150,0.9,-4000,0.0018574,10.736,25.286,78460,87890,6.4636,298.0,117.3,1.6924,9,,23,,1.7255,0.18885,,,1.6163,0,,0,1,1,35,35,0,140930.0,141460.0
171.6,75,100,120,0.0,35.953,27.426,3.7056,150,0.9,-4000,0.0018375,10.815,25.321,77820,87158,6.4497,297.97,105.86,1.6788,9,,23,,1.6793,0.18923,,,1.6033,0,,0,1,1,35,35,0,141600.0,142120.0
171.8,75,100,120,0.0,56.571,16.325,0.37056,150,0.9,-4000,0.0018923,10.877,25.354,77184,86431,6.4476,297.93,91.695,1.6652,9,,23,,1.6373,0.18957,,,1.5902,0,,0,1,1,35,35,0,141260.0,141620.0
172.0,75,100,120,0.0,78.022,4.8974,34.375,150,0.9,-4000,0.0018988,10.97,25.386,76553,85707,6.4569,297.97,108.42,1.6516,9,,23,,1.5824,0.19001,,,1.5772,0,,0,1,1,35,35,0,142410.0,142100.0
172.2,75,100,120,0.0,95.736,18.133,3.4375,150,0.9,0,0.0018747,11.036,25.417,76621,85787,6.4465,297.93,92.808,1.6482,9,,23,,1.5612,0.19018,,,1.5739,0,,0,1,1,35,35,0,141560.0,141920.0
172.4,75,100,120,0.0,117.73,5.4398,55.864,150,0.9,0,0.0018172,11.149,25.447,76693,85872,6.447,298.02,124.43,1.649,9,,23,,1.5245,0.19046,,,1.5747,0,,0,1,1,35,35,0,142200.0,141890.0
172.6,75,100,120,0.0,139.41,32.805,5.5864,150,0.9,0,0.0017722,11.274,25.474,76770,85961,6.4535,297.96,102.18,1.6501,9,,23,,1.4783,0.1908,,,1.5757,0,,0,1,1,35,35,0,142330.0,142850.0
172.8,75,100,120,0.0,158.51,11.999,0.55864,150,0.9,0,0.001724,11.383,25.5,76851,86053,6.4661,297.89,77.341,1.6511,9,,23,,1.4401,0.19109,,,1.5767,0,,0,1,1,35,35,0,141950.0,142310.0
173.0,75,100,120,0.0,172.57,3.5997,39.138,150,0.9,0,0.0016421,11.494,25.524,76934,86148,6.4794,297.91,86.552,1.6522,9,,23,,1.4028,0.19137,,,1.5777,0,,0,1,1,35,35,0,143070.0,143590.0
173.2,75,100,120,0.0,181.35,1.0799,0.0001,150,0.9,0,0.0015971,11.548,25.548,77019,86245,6.4906,297.84,60.514,1.6531,9,,23,,1.3887,0.19147,,,1.5787,0,,0,1,1,35,35,0,142180.0,142530.0
173.4,75,100,120,0.0,185.65,0.32397,59.55,150,0.9,0,0.0016105,11.557,25.571,77105,86343,6.5005,297.92,88.383,1.6541,9,,23,,1.3799,0.19154,,,1.5796,0,,0,1,1,35,35,0,143290.0,143810.0
173.6,75,100,120,0.0,185.97,0.097191,0.0001,150,0.9,0,0.001487,11.658,25.594,77191,86440,6.5097,297.85,62.466,1.655,9,,23,,1.3397,0.19184,,,1.5805,0,,0,1,1,35,35,0,142890.0,142590.0
