Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Dumped broth flow(Fremoved:L/h),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),Vessel Volume(V:L),Vessel Weight(Wt:Kg),pH(pH:pH),Temperature(T:K),Generated heat(Q:kJ),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),PAA concentration offline(PAA_offline:PAA (g L^{-1})),Oil flow(Foil:L/hr),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),Oxygen Uptake Rate(OUR:(g min^{-1})),Oxygen in percent in off-gas(O2:O2  (%)),Offline Penicillin concentration(P_offline:P(g L^{-1})),Offline Biomass concentratio(X_offline:X(g L^{-1})),Carbon evolution rate(CER:g/h),Ammonia shots(NH3_shots:kgs),Viscosity(Viscosity_offline:centPoise),Fault reference(Fault_ref:Fault ref),0 - Recipe driven 1 - Operator controlled(Control_ref:Control ref),1- No Raman spec, 1-Raman spec recorded,2-PAT control(PAT_ref:PAT ref),Batch reference(Batch_ref:Batch ref),Batch ID,Fault flag
130.2,75,100,90,0.0,76.198,0.0001,0.099563,100,1.0,-4000,0.0010596,6.2645,18.392,82462,92580,6.528,297.95,183.74,2.0024,10,,23,,1.9143,0.18683,,,1.9142,0,,0,1,1,44,44,0,109440.0,109400.0
130.4,75,100,90,0.0,65.438,0.0001,9.367,100,1.0,-4000,0.001177,6.0599,18.418,81809,91836,6.5534,297.97,192.33,1.9879,10,,23,,1.9388,0.18667,,,1.9003,0,,0,1,1,44,44,0,109060.0,109020.0
130.6,75,100,90,0.51821,32.719,5.6965,0.9367,100,1.0,-4000,0.0012864,5.8248,18.439,81149,91087,6.5517,297.98,193.85,1.9732,10,,23,,1.9516,0.1866,,,1.8862,0,,0,1,1,44,44,0,108660.0,108620.0
130.8,75,100,90,1.0396,16.359,5.79,0.09367,100,1.0,-4000,0.0013467,5.7011,18.457,80487,90334,6.5353,297.98,196.18,1.9586,10,,23,,1.9607,0.18656,,,1.8721,0,,0,1,1,44,44,0,109240.0,109200.0
131.0,75,100,90,0.0,2.8024,6.9092,0.009367,100,1.0,-4000,0.0013704,5.624,18.473,79821,89578,6.5084,297.99,198.95,1.944,10,,23,,1.9474,0.18669,,,1.858,0,,0,1,1,44,44,0,109310.0,109440.0
131.2,75,100,90,0.0,0.0,8.6374,0.0009367,100,1.0,-4000,0.0013918,5.5796,18.488,79155,88822,6.4811,297.99,201.24,1.9294,10,,23,,1.9453,0.18673,,,1.844,0,,0,1,1,44,44,0,108880.0,108510.0
131.4,75,100,90,0.0,8.0847,10.22,0.0001,100,1.0,-4000,0.0014288,5.5596,18.502,78491,88067,6.4632,298.0,202.38,1.9148,10,,23,,1.9439,0.18677,,,1.83,0,,0,1,1,44,44,0,109940.0,110240.0
131.6,75,100,90,0.0,23.304,11.003,0.0001,100,1.0,-4000,0.0013703,5.6818,18.519,77830,87316,6.4605,297.99,201.06,1.9002,10,,23,,1.9063,0.18708,,,1.8159,0,,0,1,1,44,44,0,109020.0,109320.0
131.8,75,100,90,0.0,39.584,9.6662,0.0001,100,1.0,-4000,0.0013677,5.7537,18.538,77172,86568,6.4728,297.99,198.85,1.8855,10,,23,,1.8719,0.18737,,,1.8018,0,,0,1,1,44,44,0,110110.0,109910.0
132.0,75,100,90,0.0,50.937,7.4,0.0001,100,1.0,-4000,0.0013508,5.8118,18.559,76517,85822,6.495,297.98,196.9,1.8707,10,1738.7,23,1800.2,1.8507,0.18756,18.488,26.609,1.7876,0,66.845,0,1,1,44,44,0,109710.0,110170.0
132.2,75,100,90,0.0,53.415,5.1626,0.0001,100,1.0,0,0.001341,5.8254,18.58,76561,85876,6.4933,297.98,195.79,1.8674,10,,23,,1.8427,0.18763,,,1.7845,0,,0,1,1,44,44,0,109300.0,109100.0
132.4,75,100,90,0.0,56.674,3.4959,0.0001,100,1.0,0,0.0013458,5.8247,18.601,76605,85932,6.4947,297.98,195.31,1.8691,10,,23,,1.8533,0.18754,,,1.786,0,,0,1,1,44,44,0,110400.0,110370.0
132.6,75,100,90,0.0,59.308,2.3042,0.0001,100,1.0,0,0.0012657,5.9199,18.624,76650,85987,6.4976,297.97,194.06,1.871,10,,23,,1.8233,0.18777,,,1.7878,0,,0,1,1,44,44,0,110010.0,110140.0
132.8,75,100,90,0.0,60.792,0.31627,0.0001,100,1.0,0,0.0012672,5.9156,18.646,76695,86043,6.5003,297.97,193.71,1.8728,10,,23,,1.8191,0.1878,,,1.7896,0,,0,1,1,44,44,0,110610.0,111250.0
133.0,75,100,90,0.0,61.21,0.0001,0.0001,100,1.0,0,0.0012518,5.9119,18.669,76741,86099,6.5045,297.97,193.16,1.8747,10,,23,,1.8257,0.18774,,,1.7914,0,,0,1,1,44,44,0,110720.0,110350.0
133.2,75,100,90,0.0,59.941,0.0001,0.0001,100,1.0,0,0.0013034,5.8497,18.69,76786,86155,6.5085,297.97,193.48,1.8766,10,,23,,1.8228,0.18776,,,1.7932,0,,0,1,1,44,44,0,110320.0,109950.0
